PID,Videos,stimset,Arousal,Valence,Coherence,Familiarity,,
hc0031,BUW6346,1,83,12,74,0,,
hc0032,BUW6346,1,77,25,64,2,,
hc0033,BUW6346,1,100,50,53,13,,
hc0034,BUW6346,1,75,15,95,0,,
hc0035,BUW6346,1,65,10,54,50,,
hc0036,BUW6346,1,30,22,67,1,,
hc0037,BUW6346,1,0,18,62,0,,
hc0038,BUW6346,1,65,20,95,0,,
hc0039,BUW6346,1,1,49,0,0,,
hc0040,BUW6346,1,0,14,70,0,,
hc0031,GEP1442,0,5,50,21,0,,
hc0032,GEP1442,0,8,46,87,2,,
hc0033,GEP1442,0,28,50,75,16,,
hc0034,GEP1442,0,5,50,60,0,,
hc0035,GEP1442,0,17,49,50,50,,
hc0036,GEP1442,0,3,73,63,1,,
hc0037,GEP1442,0,54,25,43,0,,
hc0038,GEP1442,0,20,50,60,0,,
hc0039,GEP1442,0,0,50,0,0,,
hc0040,GEP1442,0,2,60,50,0,,
hc0031,EMB9905,1,33,14,63,0,,
hc0032,EMB9905,1,79,39,65,2,,
hc0033,EMB9905,1,96,13,82,8,,
hc0034,EMB9905,1,70,20,71,0,,
hc0035,EMB9905,1,76,10,0,100,,
hc0036,EMB9905,1,92,1,71,1,,
hc0037,EMB9905,1,0,27,64,0,,
hc0038,EMB9905,1,70,22,60,0,,
hc0039,EMB9905,1,3,51,0,0,,
hc0040,EMB9905,1,0,40,89,0,,
